,MAXMES,MAXSES,TDEPTH,TDUR,TEPOCH,TPERIOD,TSNR,n_det,rmsCdpp,sector,sectors,is_toi,toi,toi_disp,TID,ID,MH,Teff,Tmag,contratio,d,dec,gallat,gallong,logg,mass,objType,pmDEC,pmRA,ra,rad,rho
000441183795_00_01,21.242095947265625,15.112367630004885,17386.0051170049,2.46482222618126,1327.7595911989079,13.283596983288515,4.326395988464356,0,,1.0,[[1]],0.0,0.0,0.0,441183795,441183795.0,,6589.0,8.351,0.000248526223,172.899551,-24.990824,-55.011529,27.433327000000002,3.89934,1.37273,STAR,-47.2884,37.0101,333.829173,2.1794,0.132609
000441183795_01_01,10.304028511047363,8.090981483459473,617.5300994118397,0.5637587838161338,1325.419355944053,0.3170883358016436,7.544625282287598,1,,1.0,[[1]],0.0,0.0,0.0,441183795,441183795.0,,6589.0,8.351,0.000248526223,172.899551,-24.990824,-55.011529,27.433327000000002,3.89934,1.37273,STAR,-47.2884,37.0101,333.829173,2.1794,0.132609
000092564714_00_01,28.428550720214844,37.04703140258789,1989.4692763583066,2.0275352035184486,1329.5128117102272,7.161023271930945,5.0714545249938965,0,,1.0,[[1]],0.0,0.0,0.0,92564714,92564714.0,,3322.0,11.788,0.0698830858,53.98941,-30.768,-40.053905,14.2566,4.95524,0.28800000000000003,STAR,-100.39,199.48,315.3027,0.29600000000000004,11.105
000092564714_01_01,26.95882606506348,35.78002166748047,9487.254561122782,5.589279614367036,1330.7941841289553,12.44683756335885,22.86375617980957,1,,1.0,[[1]],0.0,0.0,0.0,92564714,92564714.0,,3322.0,11.788,0.0698830858,53.98941,-30.768,-40.053905,14.2566,4.95524,0.28800000000000003,STAR,-100.39,199.48,315.3027,0.29600000000000004,11.105
000255567307_00_01,7.166214942932129,5.378138065338135,793.0302041541611,14.232611672208204,1334.9201048001214,14.60916931375071,8.093375205993652,0,,1.0,[[1]],0.0,0.0,0.0,255567307,255567307.0,,6304.0,10.176,0.00646905228,203.4792,-53.378041,-25.146442,262.019002,4.3792,1.23829,STAR,-21.724,27.7064,96.482702,1.19131,0.732399
000271596290_00_01,534.9002075195311,130.57014465332028,101065.82898372762,5.98227222834892,1326.1136362233458,1.2825015094811432,811.2399291992188,0,,1.0,[[1]],0.0,0.0,0.0,271596290,271596290.0,-0.630682,6311.35,10.201,0.029805854,211.91299999999998,-74.711128,-24.629268,286.153749,4.33549,1.05993354,STAR,6.2,6.1,108.508599,1.16667,0.667481
000214709620_00_01,103.32467651367188,164.72695922851562,243078.6712906689,1.0,1333.6769863025838,13.568050384521484,,0,,1.0,[[1]],0.0,0.0,0.0,214709620,214709620.0,,3301.0,12.823,0.002189125,85.12388609999999,-36.4794,-61.669056000000005,5.715279,4.9650300000000005,0.275,STAR,-257.0,40.49,341.2009,0.28600000000000003,11.7553
000214709620_01_01,54.27482604980469,76.2303466796875,55996.23815277308,3.4986735132064815,1334.0795557529789,13.699033282294247,54.29135131835938,1,,1.0,[[1]],0.0,0.0,0.0,214709620,214709620.0,,3301.0,12.823,0.002189125,85.12388609999999,-36.4794,-61.669056000000005,5.715279,4.9650300000000005,0.275,STAR,-257.0,40.49,341.2009,0.28600000000000003,11.7553
000214709620_02_01,29.0284481048584,41.33475875854492,15489.996537968927,1.888389476836149,1334.4224322685147,15.493310510936219,13.380905151367188,2,,1.0,[[1]],0.0,0.0,0.0,214709620,214709620.0,,3301.0,12.823,0.002189125,85.12388609999999,-36.4794,-61.669056000000005,5.715279,4.9650300000000005,0.275,STAR,-257.0,40.49,341.2009,0.28600000000000003,11.7553
000404797151_00_01,8.613486289978027,4.414926528930664,4661.593246653434,9.508646250879568,1326.973272627964,1.7807081102223437,12.830585479736328,0,,1.0,[[1]],0.0,0.0,0.0,404797151,404797151.0,,,10.379000000000001,,,-69.453529,-31.563021000000003,279.867265,,,STAR,,,84.87202099999999,,
